ts	base_num	base_chunk_id	query_kind	removed_words_lower_csv	removed_words_original_csv	removed_starts_csv	removed_ends_csv	insert_text	insert_after_word_num_requested	insert_after_word_num_actual	insert_word_count	insert_char_pos	insert_appended_to_end	eligible_words	requested_random_sets	max_unique_sets_possible	ann_has_base	ann_rank_base	local_has_base	local_rank_base	overlap@5	recall@5	ann_top_ids	local_top_ids
20260215_104513	1	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk771|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk452|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7086|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk744	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk771|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk452|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7086|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk744
20260215_104513	1	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949	INSERTED					not at all	10	10	24	66	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk771|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk744|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7086|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk525	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk949|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk771|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk744|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk525|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7086
20260215_104513	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379|Common Sense by Thomas Paine - pg147_chunk783|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6702|Common Sense by Thomas Paine - pg147_chunk85|Common Sense by Thomas Paine - pg147_chunk623	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379|Common Sense by Thomas Paine - pg147_chunk783|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6702|Common Sense by Thomas Paine - pg147_chunk85|Common Sense by Thomas Paine - pg147_chunk623
20260215_104513	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379	INSERTED					not at all	10	10	25	54	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379|Common Sense by Thomas Paine - pg147_chunk783|Common Sense by Thomas Paine - pg147_chunk226|Common Sense by Thomas Paine - pg147_chunk886|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6702	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3379|Common Sense by Thomas Paine - pg147_chunk783|Common Sense by Thomas Paine - pg147_chunk226|Common Sense by Thomas Paine - pg147_chunk886|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6702
20260215_104513	3	Frankenstein  The Modern Prometheus - pg84_chunk2064	ORIGINAL														True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk2064|Heart of Darkness by Joseph Conrad - pg219_chunk33|Frankenstein  The Modern Prometheus - pg84_chunk2090|Frankenstein  The Modern Prometheus - pg84_chunk2447|Heart of Darkness by Joseph Conrad - pg219_chunk19	Frankenstein  The Modern Prometheus - pg84_chunk2064|Heart of Darkness by Joseph Conrad - pg219_chunk33|Frankenstein  The Modern Prometheus - pg84_chunk2090|Frankenstein  The Modern Prometheus - pg84_chunk2447|Heart of Darkness by Joseph Conrad - pg219_chunk19
20260215_104513	3	Frankenstein  The Modern Prometheus - pg84_chunk2064	INSERTED					not at all	10	10	30	44	False				True	1	True	1	5/5	1.0000	Frankenstein  The Modern Prometheus - pg84_chunk2064|Frankenstein  The Modern Prometheus - pg84_chunk2090|Heart of Darkness by Joseph Conrad - pg219_chunk33|Frankenstein  The Modern Prometheus - pg84_chunk2447|Heart of Darkness by Joseph Conrad - pg219_chunk19	Frankenstein  The Modern Prometheus - pg84_chunk2064|Frankenstein  The Modern Prometheus - pg84_chunk2090|Heart of Darkness by Joseph Conrad - pg219_chunk33|Frankenstein  The Modern Prometheus - pg84_chunk2447|Heart of Darkness by Joseph Conrad - pg219_chunk19
20260215_104513	4	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566	ORIGINAL														True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5636|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5659|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6465|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6544	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5636|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5659|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6465|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6544
20260215_104513	4	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566	INSERTED					not at all	10	10	25	65	False				True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5659|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5636|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6465|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6544	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6566|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5659|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5636|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6465|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6544
20260215_104513	5	A Room with a View by E. M. Forster - pg2641_chunk2080	ORIGINAL														True	1	True	1	5/5	1.0000	A Room with a View by E. M. Forster - pg2641_chunk2080|A Room with a View by E. M. Forster - pg2641_chunk2070|Pride and Prejudice - pg1342_chunk4264|A Room with a View by E. M. Forster - pg2641_chunk2009|Pride and Prejudice - pg1342_chunk2108	A Room with a View by E. M. Forster - pg2641_chunk2080|A Room with a View by E. M. Forster - pg2641_chunk2070|Pride and Prejudice - pg1342_chunk4264|A Room with a View by E. M. Forster - pg2641_chunk2009|Pride and Prejudice - pg1342_chunk2108
20260215_104513	5	A Room with a View by E. M. Forster - pg2641_chunk2080	INSERTED					not at all	10	10	24	61	False				True	1	True	1	5/5	1.0000	A Room with a View by E. M. Forster - pg2641_chunk2080|Pride and Prejudice - pg1342_chunk4264|A Room with a View by E. M. Forster - pg2641_chunk2070|A Room with a View by E. M. Forster - pg2641_chunk2009|Pride and Prejudice - pg1342_chunk2108	A Room with a View by E. M. Forster - pg2641_chunk2080|Pride and Prejudice - pg1342_chunk4264|A Room with a View by E. M. Forster - pg2641_chunk2070|A Room with a View by E. M. Forster - pg2641_chunk2009|Pride and Prejudice - pg1342_chunk2108
